day,home team,away team
42,Golden State Warriors,Orlando Magic
43,Detroit Pistons,New York Knicks
43,Miami Heat,Atlanta Hawks
43,Memphis Grizzlies,Toronto Raptors
43,Denver Nuggets,Los Angeles Lakers
43,Phoenix Suns,Indiana Pacers
44,Charlotte Hornets,Atlanta Hawks
44,Philadelphia 76ers,New York Knicks
44,Brooklyn Nets,Utah Jazz
44,Houston Rockets,Dallas Mavericks
44,Milwaukee Bucks,Chicago Bulls
44,Minnesota Timberwolves,San Antonio Spurs
44,New Orleans Pelicans,Washington Wizards
44,Oklahoma City Thunder,Cleveland Cavaliers
44,Portland Trail Blazers,Orlando Magic
44,LA Clippers,Phoenix Suns
45,Toronto Raptors,Golden State Warriors
45,Los Angeles Lakers,Indiana Pacers
45,Sacramento Kings,LA Clippers
46,Boston Celtics,Cleveland Cavaliers
46,Charlotte Hornets,Utah Jazz
46,Detroit Pistons,Chicago Bulls
46,Philadelphia 76ers,Washington Wizards
46,Brooklyn Nets,Memphis Grizzlies
46,Miami Heat,New Orleans Pelicans
46,Oklahoma City Thunder,Atlanta Hawks
46,San Antonio Spurs,Houston Rockets
46,Phoenix Suns,Orlando Magic
46,Los Angeles Lakers,Dallas Mavericks
46,Portland Trail Blazers,Denver Nuggets
47,New York Knicks,Milwaukee Bucks
47,Detroit Pistons,Golden State Warriors
47,Washington Wizards,Brooklyn Nets
47,Cleveland Cavaliers,Toronto Raptors
47,Houston Rockets,Chicago Bulls
47,Minnesota Timberwolves,Boston Celtics
47,Sacramento Kings,Indiana Pacers
48,Los Angeles Lakers,Phoenix Suns
48,Charlotte Hornets,New Orleans Pelicans
48,Miami Heat,Utah Jazz
48,Philadelphia 76ers,Memphis Grizzlies
48,Dallas Mavericks,LA Clippers
48,San Antonio Spurs,Portland Trail Blazers
49,Detroit Pistons,Oklahoma City Thunder
49,Atlanta Hawks,Golden State Warriors
49,Brooklyn Nets,Cleveland Cavaliers
49,New York Knicks,Washington Wizards
49,Toronto Raptors,Denver Nuggets
49,Minnesota Timberwolves,Houston Rockets
49,New Orleans Pelicans,LA Clippers
