day,home team,away team
74,Indiana Pacers,Detroit Pistons
75,Toronto Raptors,Charlotte Hornets
75,Portland Trail Blazers,Golden State Warriors
75,LA Clippers,San Antonio Spurs
75,Utah Jazz,New York Knicks
75,Atlanta Hawks,Cleveland Cavaliers
75,New Orleans Pelicans,Houston Rockets
75,Phoenix Suns,Denver Nuggets
75,Milwaukee Bucks,Brooklyn Nets
75,Memphis Grizzlies,Boston Celtics
76,Toronto Raptors,Chicago Bulls
76,Portland Trail Blazers,Philadelphia 76ers
76,Los Angeles Lakers,Sacramento Kings
76,Dallas Mavericks,Oklahoma City Thunder
76,Orlando Magic,Detroit Pistons
76,Miami Heat,Minnesota Timberwolves
77,Oklahoma City Thunder,Dallas Mavericks
77,Atlanta Hawks,Indiana Pacers
77,New Orleans Pelicans,Minnesota Timberwolves
77,Charlotte Hornets,Orlando Magic
77,Phoenix Suns,Golden State Warriors
77,San Antonio Spurs,Boston Celtics
77,Houston Rockets,Memphis Grizzlies
78,Toronto Raptors,Utah Jazz
78,Sacramento Kings,Portland Trail Blazers
78,LA Clippers,Philadelphia 76ers
78,Denver Nuggets,New York Knicks
78,Milwaukee Bucks,Detroit Pistons
79,Los Angeles Lakers,Oklahoma City Thunder
79,Washington Wizards,Atlanta Hawks
79,Dallas Mavericks,Charlotte Hornets
79,Brooklyn Nets,New Orleans Pelicans
79,Chicago Bulls,Orlando Magic
79,Phoenix Suns,Philadelphia 76ers
79,Boston Celtics,Minnesota Timberwolves
79,Cleveland Cavaliers,Miami Heat
79,Memphis Grizzlies,Detroit Pistons
80,San Antonio Spurs,Toronto Raptors
80,Sacramento Kings,Denver Nuggets
80,Golden State Warriors,Houston Rockets
81,Portland Trail Blazers,Oklahoma City Thunder
81,Phoenix Suns,LA Clippers
81,Los Angeles Lakers,New York Knicks
81,Miami Heat,Washington Wizards
81,Boston Celtics,Dallas Mavericks
81,Milwaukee Bucks,Atlanta Hawks
81,Cleveland Cavaliers,Utah Jazz
81,Chicago Bulls,Indiana Pacers
81,Minnesota Timberwolves,Orlando Magic
81,Memphis Grizzlies,Brooklyn Nets
82,Milwaukee Bucks,Toronto Raptors
82,Portland Trail Blazers,Houston Rockets
82,Philadelphia 76ers,Dallas Mavericks
82,Cleveland Cavaliers,New Orleans Pelicans
82,Sacramento Kings,Golden State Warriors
82,Denver Nuggets,Charlotte Hornets
82,Detroit Pistons,Utah Jazz
82,San Antonio Spurs,Memphis Grizzlies
83,Toronto Raptors,Indiana Pacers
83,LA Clippers,Orlando Magic
83,Minnesota Timberwolves,Los Angeles Lakers
83,Oklahoma City Thunder,Washington Wizards
83,Atlanta Hawks,Miami Heat
83,Phoenix Suns,Charlotte Hornets
83,Chicago Bulls,Brooklyn Nets
84,Portland Trail Blazers,New York Knicks
84,Dallas Mavericks,Los Angeles Lakers
84,New Orleans Pelicans,Memphis Grizzlies
84,Sacramento Kings,Orlando Magic
84,Milwaukee Bucks,Utah Jazz
84,Houston Rockets,Denver Nuggets
84,Boston Celtics,Brooklyn Nets
84,Detroit Pistons,San Antonio Spurs
85,Atlanta Hawks,Toronto Raptors
85,LA Clippers,Charlotte Hornets
85,Golden State Warriors,New York Knicks
85,Philadelphia 76ers,Washington Wizards
85,Phoenix Suns,Sacramento Kings
85,Miami Heat,Denver Nuggets
85,Oklahoma City Thunder,Minnesota Timberwolves
85,Cleveland Cavaliers,Indiana Pacers
86,Portland Trail Blazers,Chicago Bulls
86,Los Angeles Lakers,Detroit Pistons
86,Washington Wizards,Philadelphia 76ers
86,Dallas Mavericks,Phoenix Suns
86,Brooklyn Nets,Atlanta Hawks
86,New Orleans Pelicans,Cleveland Cavaliers
86,Utah Jazz,Orlando Magic
86,Houston Rockets,Milwaukee Bucks
86,Boston Celtics,Indiana Pacers
86,Memphis Grizzlies,San Antonio Spurs
87,Denver Nuggets,LA Clippers
87,Sacramento Kings,Detroit Pistons
87,Miami Heat,Boston Celtics
87,San Antonio Spurs,Oklahoma City Thunder
88,Toronto Raptors,Brooklyn Nets
88,Portland Trail Blazers,Charlotte Hornets
88,New York Knicks,Indiana Pacers
88,Utah Jazz,Los Angeles Lakers
88,Washington Wizards,Milwaukee Bucks
88,Minnesota Timberwolves,Dallas Mavericks
88,Philadelphia 76ers,Atlanta Hawks
88,Golden State Warriors,Chicago Bulls
88,Houston Rockets,Cleveland Cavaliers
89,LA Clippers,Detroit Pistons
89,Minnesota Timberwolves,New Orleans Pelicans
89,Sacramento Kings,Charlotte Hornets
89,Utah Jazz,Chicago Bulls
89,Phoenix Suns,Denver Nuggets
89,Orlando Magic,Boston Celtics
89,Oklahoma City Thunder,San Antonio Spurs
89,Miami Heat,Memphis Grizzlies
90,Washington Wizards,Toronto Raptors
90,Denver Nuggets,Portland Trail Blazers
90,New York Knicks,Philadelphia 76ers
90,Los Angeles Lakers,Cleveland Cavaliers
90,Dallas Mavericks,Golden State Warriors
90,Atlanta Hawks,Milwaukee Bucks
90,Orlando Magic,Houston Rockets
91,Sacramento Kings,Portland Trail Blazers
91,LA Clippers,New Orleans Pelicans
91,San Antonio Spurs,Charlotte Hornets
91,Detroit Pistons,Chicago Bulls
91,Brooklyn Nets,Boston Celtics
91,Houston Rockets,Memphis Grizzlies
